"species","sp","density","sd","n"
"Anisoptera costata","Acos",0.55,0.08,3
"Dipterocarpus acutangulus","Dacu",0.64,0.01,2
"Dipterocarpus applanatus","Dapp",0.64,NA,1
"Dipterocarpus caudiferus","Dcau",NA,NA,NA
"Dipterocarpus confertus","Dcon",0.64,NA,1
"Dipterocarpus grandiflorus","Dgra",0.67,0.04,3
"Dipterocarpus humeratus","Dhum",0.63,NA,1
"Dipterocarpus kerrii","Dker",0.61,NA,1
"Dipterocarpus kunstleri","Dkun",0.6,0.03,4
"Dryobalanops lanceolata","Dry",0.62,0.04,2
"Hopea beccariana","Hbec",0.65,0.07,3
"Hopea nervosa","Hner",0.61,0.02,3
"Hopea sangal","Hsan",NA,NA,NA
"Hopea semicuneata","Hsem",0.81,0.07,3
"Hopea spp.","Hsp",NA,NA,NA
"Parashorea malaanonan","Pmal",0.42,0.04,2
"Parashorea tomentella","Ptom",NA,NA,NA
"Shorea acuminatissima","Sacu",0.39,0.03,2
"Shorea agami","Saga",0.53,NA,1
"Shorea almon","Salm",0.39,NA,1
"Shorea argentifolia","Sarg",0.52,0.01,2
"Shorea beccariana","Sbec",0.47,0.08,2
"Shorea confusa","Scon",NA,NA,NA
"Shorea falciferoides","Sfal",0.72,NA,1
"Shorea foxworthyii","Sfox",NA,NA,NA
"Shorea gibbosa","Sgib",0.45,0.06,2
"Shorea johorensis","Sjoh",0.39,0.02,3
"Shorea leprosula","Slep",0.44,0.02,4
"Shorea macroptera","Smac",0.42,0.05,4
"Shorea mecistopteryx","Smec",0.43,0.02,3
"Shorea multiflora","Smul",0.51,0.04,4
"Shorea parvifolia","Spar",0.4,0.06,2
"Shorea pauciflora","Spau",0.53,0.06,4
"Shorea seminis","Ssem",0.72,NA,1
"Shorea smithiana","Ssmi",0.36,0.06,2
"Shorea superba","Ssup",0.69,0.04,2
"Shorea symingtonii","Ssym",NA,NA,NA
"Shorea waltonii","Swal",NA,NA,NA
"Shorea xanthophylla","Sxan",0.52,0.01,2
"Unknown ","Unkn",NA,NA,NA
"Vatica dulitensis","Vdul",NA,NA,NA
"Vatica micrantha","Vmic",0.75,NA,1
"Vatica oblongifolia","Vobl",0.7,0.01,2
"Vatica rassak","Vras",0.55,0.07,3
