"species","sp","wood_density"
"Dryobalanops lanceolata","Dry",0.5215419501
"Dryobalanops lanceolata","Dry",0.522875817
"Dryobalanops lanceolata","Dry",0.5600841441
"Dryobalanops lanceolata","Dry",0.5291005291
"Dryobalanops lanceolata","Dry",0.5592105263
"Dryobalanops lanceolata","Dry",0.5340160936
"Dryobalanops lanceolata","Dry",0.5282331512
"Parashorea malaanonan","Pmal",0.5263157895
"Parashorea malaanonan","Pmal",0.5531914894
"Parashorea malaanonan","Pmal",0.5563480742
"Parashorea malaanonan","Pmal",0.5492957746
"Parashorea malaanonan","Pmal",0.4857142857
"Parashorea malaanonan","Pmal",0.4571428571
"Parashorea tomentella","Ptom",0.6137724551
"Parashorea tomentella","Ptom",0.5190311419
"Parashorea tomentella","Ptom",0.4966887417
"Parashorea tomentella","Ptom",0.4503870514
"Parashorea tomentella","Ptom",0.48098434
"Parashorea tomentella","Ptom",0.5733558179
"Shorea acuminatissima","Sacu",0.5109489051
"Shorea acuminatissima","Sacu",0.6296296296
"Shorea acuminatissima","Sacu",0.5827505828
"Shorea acuminatissima","Sacu",0.5693069307
"Shorea acuminatissima","Sacu",0.5308219178
"Shorea acuminatissima","Sacu",0.5865102639
"Shorea beccariana","Sbec",0.4323094425
"Shorea beccariana","Sbec",0.4032258065
"Shorea beccariana","Sbec",0.3703703704
"Shorea beccariana","Sbec",0.4676258993
"Shorea beccariana","Sbec",0.460593654
"Shorea beccariana","Sbec",0.3990877993
"Shorea beccariana","Sbec",0.4464285714
"Shorea falciferoides","Sfal",0.6501547988
"Shorea falciferoides","Sfal",0.5714285714
"Shorea falciferoides","Sfal",0.6474820144
"Shorea falciferoides","Sfal",0.5410062026
"Shorea falciferoides","Sfal",0.5430932704
"Shorea falciferoides","Sfal",0.6369426752
"Shorea gibbosa","Sgib",0.625
"Shorea gibbosa","Sgib",0.6172839506
"Shorea gibbosa","Sgib",0.6726457399
"Shorea gibbosa","Sgib",0.5945945946
"Shorea gibbosa","Sgib",0.5741626794
"Shorea gibbosa","Sgib",0.5235602094
"Shorea gibbosa","Sgib",0.4918032787
"Shorea leprosula","Slep",0.4064171123
"Shorea leprosula","Slep",0.3087885986
"Shorea leprosula","Slep",0.3488372093
"Shorea leprosula","Slep",0.4251012146
"Shorea leprosula","Slep",0.392296719
"Shorea leprosula","Slep",0.3327495622
"Shorea macroptera","Smac",0.4166666667
"Shorea macroptera","Smac",0.4090214067
"Shorea macroptera","Smac",0.4050144648
"Shorea macroptera","Smac",0.463800905
"Shorea macroptera","Smac",0.3881700555
"Shorea macroptera","Smac",0.3886010363
"Shorea mecistopteryx","Smec",0.5565217391
"Shorea mecistopteryx","Smec",0.4770992366
"Shorea mecistopteryx","Smec",0.4484732824
"Shorea mecistopteryx","Smec",0.5328596803
"Shorea mecistopteryx","Smec",0.5794701987
"Shorea mecistopteryx","Smec",0.465408805
"Shorea parvifolia","Spar",0.3522727273
"Shorea parvifolia","Spar",0.3462230216
"Shorea parvifolia","Spar",0.5190311419
"Shorea parvifolia","Spar",0.3682719547
"Shorea parvifolia","Spar",0.3209373408
"Shorea parvifolia","Spar",0.3438166311
"Shorea pauciflora","Spau",0.4972375691
"Shorea pauciflora","Spau",0.3881278539
"Shorea pauciflora","Spau",0.406360424
"Shorea pauciflora","Spau",0.36121673
"Shorea pauciflora","Spau",0.3793532338
"Shorea pauciflora","Spau",0.3561643836
"Shorea seminis","Ssem",0.5998356615
"Shorea seminis","Ssem",0.580474934
"Shorea seminis","Ssem",0.5949008499
"Shorea seminis","Ssem",0.625
"Shorea seminis","Ssem",0.5704697987
"Shorea seminis","Ssem",0.5762304922
"Shorea seminis","Ssem",0.5428571429
"Shorea smithiana","Ssmi",0.3305785124
"Shorea smithiana","Ssmi",0.3838383838
"Shorea smithiana","Ssmi",0.3620474407
"Shorea smithiana","Ssmi",0.401119403
"Shorea smithiana","Ssmi",0.375
"Shorea smithiana","Ssmi",0.4534212696
"Shorea waltonii","Swal",0.4219948849
"Shorea waltonii","Swal",0.453125
"Shorea waltonii","Swal",0.4566210046
"Shorea waltonii","Swal",0.4609929078
"Shorea waltonii","Swal",0.5144291092
"Shorea waltonii","Swal",0.4324324324
"Shorea xanthophylla","Sxan",0.4992435703
"Shorea xanthophylla","Sxan",0.5095541401
"Shorea xanthophylla","Sxan",0.4893964111
"Shorea xanthophylla","Sxan",0.5
"Shorea xanthophylla","Sxan",0.4934687954
"Shorea xanthophylla","Sxan",0.4636459431
