"species","sp","mean_wood_density","sd_wood_density","n"
"Dryobalanops lanceolata","Dry",0.536437458771429,0.0163838174572249,7
"Parashorea malaanonan","Pmal",0.52133471175,0.0410775631189097,6
"Parashorea tomentella","Ptom",0.522369924666667,0.0608587794311955,6
"Shorea acuminatissima","Sacu",0.568328038316667,0.0424182046899928,6
"Shorea beccariana","Sbec",0.425663077628571,0.0358779493385708,7
"Shorea falciferoides","Sfal",0.598351255466667,0.0522560373001062,6
"Shorea gibbosa","Sgib",0.585578636085714,0.0619027004584494,7
"Shorea leprosula","Slep",0.369031736,0.0456862405405488,6
"Shorea macroptera","Smac",0.411879089166667,0.0278498520553142,6
"Shorea mecistopteryx","Smec",0.509972157016667,0.0536084189858175,6
"Shorea parvifolia","Spar",0.375092136233333,0.072152619525568,6
"Shorea pauciflora","Spau",0.398076699066667,0.0518967155485858,6
"Shorea seminis","Ssem",0.584252697028571,0.0258158287764675,7
"Shorea smithiana","Ssmi",0.38433416825,0.0413001523930591,6
"Shorea waltonii","Swal",0.45659922315,0.0321159302750578,6
"Shorea xanthophylla","Sxan",0.492551476666667,0.0157205659187823,6
